पहला खिलाडी हेंक रॉजरस	మొదటి పలేయర హెంక రాజరస
केंदरीय समिति. सामयवादी पारटी.	కమయూనిసట పారటీకి చెందిన సెంటరల కమిటీలో సభయుడిని.
लेकिन मुझे आपकी मदद की जरूरत है.	నాకు నీ సాయం కావాలి.
लानत है.	అబబా.
निनटेंडो के लिए कोई कीबोरड नहीं होता.	నింటెండోకి కీబోరడ లేదు.
कयोंकि, पता है, इतिहास का खुद को दोहराने का एक बहुत ही अजीब तरीका होता है.	ఎందుకంటే, చరితర మళలీ పునరావృతమయయే అవకాశం ఉంది.
कया तुम मुझ पर भरोसा करते हो?	నా మీద నమమకం ఉందా?
यह लो. कृपया.	దయచేసి ఇది తీసుకోండి.
डेढ लाख डॉलर.	లకషా యాభె వేల డాలరలు.
इतना कम कयों?	ఎందుకు మరీ అంత తకకువ?
रुको. वह. . .	ఒకక నిమిషం. అతను. . .
कया? कब?	ఏంటి? ఎపపుడు?
