जैज. जैज 124.	జాజ. జాజ 124.
-खिडकी से बाहर देखो. कुछ दिख रहा है? -पूरा नीला है. सब नीला है.	-కిటికిలో చూడు. ఏదెనా కనపడుతోందా? -అంతా నీలం. పరతీదీ నీలం.
आप मुझे नहीं जानते, मुझे देख नहीं सकते,  पर मैं मदद के लिए हूँ.	మీకు నా గురించి తెలియదు, నేను కనిపించను,  కానీ సాయం చేసతా.
-मैं बरदाशत नहीं करूँगा. -मैगी बेली से अलग है.	-నేను దానని సహించను. -బెయిలీ కననా మయాగీ భిననమెనది.
पहली बार निजी विमान पर.	పరెవేట విమానంలో తొలిసారి.
-इसे निकालना होगा. -अचछा.	-అతనని బయటకు తియ. -సరే.
{\an8}ये सभी विमान हैं, हम इस वाले को देख रहे हैं.	{\an8}ఇవననీ విమానాలు, మనం దీనని అనుసరిసతుననాం.
तो, यह नीचे उतर रहा है?	అంటే, కిందకు వెళుతుననాడా?
कैरी, सुनो. मैं काम पर हूँ. तुमहारी मदद चाहिए.	కయారీ, విను. పనిచేసే చోటుననా. నాకు నీ సాయం కావాలి.
अचछा. ऐसा लगता है कि आप 5, 000 फुट पर उतर रहे हैं,	సరే. చూసతుంటే నువవు 5, 000 అడుగులలో వసతుననావు,
वह सामने के मैदान में है.	అతను మన దృషటిలో ఉననాడు.
नहीं, बस ये दो अजीब से चॉकलेट हैं.	లేదు, ఈ పిచచి బారలు ఏవో రెండు ఉననాయి.
