पलीज . पलीज .	పలీజ . పలీజ .
है ना ? मैं वा कई मान ता हूँ कि तुम मान व जा ति पर एक स का रात म क पर भा व डाल सकते हो .	అవును కదా ? నువవు మను ష ు ల పె మంచి పర భా వా నని చూ ప గల వయకతి వి కా గల వు అని నేను నమ ము తుననా .
खुश ियाँ मना नी चाहिए ? बकवास !	ప ండు గ రోజు లలో నా ? నో రు ము య !
और अगर तुमहें झ ट का लगा तो तुम भा ड में जा सकते हो , यार !	నువవు నమమ లే కపోతే వచచి నా కా ళళు ము దదు పెటటు కో , బా బు !
और तुम यहाँ बैठ े रह सकते हो	నువవు మా తరం ఇకకడ ే ఆ హా ర ంతో
- मैं थ क गया हूँ . - मैं भी .	- నేను అ ల సి పోయా . - నేను కూడా .
- हैलो , सि ड नी . - हैलो , क लि ंट .	- హేయ , సి డ నీ . - హేయ , కలి ంట .
छो टी सी ऑ न ला इन झ ड प के कारण ?	ఒక చినన ఆన లెన నే రా రో ప ణ కా ?
हम कुछ स के ट व ग ै रह कि रा ए पर ल ेंगे और हम म जे करेंगे .	కొనని స కె ట స అ దద ె కు తీసు కొ ని వ సతా ం , తరవాత ఎ ం జా య చే దదాం .
ग जब . वह . . . मतलब , पता है , उसके लिए कोई ऐसा चाहिए जो बहुत . . .	వా వ . అది . . . అంటే , అ ందుకు నీకు ఎవరెనా అన నీ బాగా తెలి సిన వయకతి . . .
अरे , वे सारे लोग बुरा कयों मान गए थे ?	హేయ , ఇం కొ క టి , ఆ జ నమ ంతా ఎందుకు కో పప డ డా రు ?
तो , मैं बस यह पूरी तरह समझ ना चाहता हूँ . तुम स कर ू ज थे .	సరే , నాకు ఒకటి అరథం అ యయ ే లా చెపపు . నువవు స క రూ జ వి .
